Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,Preferred Foot,Height
55,21,€1K,70,40,161lbs,€150K,18,31,28,56,27,Right,5'11
64,21,€2K,64,54,183lbs,€350K,28,42,29,72,38,Right,6'0
63,39,€1K,64,60,172lbs,€300K,27,62,58,80,55,Left,6'0
62,44,€2K,62,63,172lbs,€275K,27,65,60,55,71,Right,6'1
56,19,€3K,64,47,187lbs,€130K,21,20,13,28,35,Right,6'5
65,9,€8K,66,66,179lbs,€500K,25,25,18,30,43,Right,6'1
59,53,€2K,68,55,146lbs,€240K,22,56,52,60,63,Right,5'7
63,15,€2K,63,72,163lbs,€220K,31,43,38,58,25,Right,5'11
79,75,€30K,82,76,148lbs,€12.5M,25,82,80,69,78,Left,5'7
55,23,€1K,67,46,181lbs,€120K,18,38,30,41,26,Right,6'2
66,65,€4K,70,58,159lbs,€825K,22,74,76,62,68,Left,5'9
70,54,€10K,70,63,159lbs,€1.4M,26,73,77,55,68,Left,5'7
65,31,€3K,69,63,174lbs,€575K,23,60,57,75,42,Right,6'1
65,64,€3K,65,58,179lbs,€350K,33,61,60,70,60,Right,5'11
77,70,€30K,80,67,143lbs,€8.5M,24,77,77,81,69,Left,5'7
65,22,€3K,72,60,187lbs,€650K,22,46,31,59,32,Right,6'4
68,31,€10K,69,64,194lbs,€825K,26,46,32,68,46,Right,6'2
70,45,€15K,83,68,181lbs,€2.3M,21,62,59,67,38,Right,6'4
70,14,€3K,75,64,179lbs,€1.5M,23,51,43,60,29,Left,6'2
61,59,€1K,62,57,165lbs,€275K,26,58,57,65,58,Right,5'11
64,44,€2K,67,57,165lbs,€450K,24,65,68,79,57,Left,5'9
78,11,€40K,78,74,172lbs,€7M,30,21,16,34,55,Right,6'6
58,52,€2K,61,50,154lbs,€160K,25,66,63,72,48,Right,5'9
54,32,€500,68,53,157lbs,€140K,17,52,51,49,49,Right,5'9
56,50,€2K,59,57,163lbs,€110K,24,52,52,62,47,Right,5'10
63,11,€3K,64,57,194lbs,€300K,27,48,38,60,49,Right,6'5
71,63,€15K,71,71,170lbs,€1.5M,30,68,70,82,70,Right,6'0
61,59,€7K,70,52,139lbs,€350K,20,60,62,53,56,Right,5'7
71,48,€10K,71,70,176lbs,€1.2M,29,68,68,79,55,Right,6'0
63,12,€2K,63,53,165lbs,€100K,34,50,24,57,42,Right,6'2
76,66,€40K,78,73,152lbs,€6.5M,24,75,75,80,74,Left,5'9
68,48,€10K,68,63,165lbs,€850K,27,68,67,76,59,Left,5'9
68,49,€4K,68,66,163lbs,€650K,32,69,62,69,68,Right,5'10
61,68,€8K,75,58,170lbs,€500K,20,65,50,54,61,Right,6'0
68,36,€15K,68,64,174lbs,€500K,32,51,44,77,56,Right,6'1
71,33,€5K,78,64,154lbs,€2M,21,69,71,78,62,Left,5'9
68,46,€20K,68,62,179lbs,€500K,32,67,61,84,46,Right,6'1
70,57,€15K,77,65,159lbs,€1.6M,23,71,70,69,62,Right,5'9
55,37,€3K,69,51,150lbs,€190K,20,63,59,49,52,Right,5'10
67,66,€4K,67,64,172lbs,€725K,27,62,63,67,59,Left,5'9
67,55,€10K,77,56,154lbs,€1.2M,20,73,80,55,64,Left,5'11
60,56,€2K,69,55,176lbs,€275K,20,60,61,65,59,Right,6'1
68,32,€5K,68,65,183lbs,€625K,30,62,40,70,57,Right,6'2
84,58,€130K,88,81,181lbs,€32.5M,24,70,53,74,55,Right,6'0
74,13,€15K,75,74,179lbs,€3.1M,27,22,14,33,40,Right,6'4
62,53,€3K,76,62,148lbs,€575K,19,68,61,80,52,Left,5'9
67,12,€4K,71,62,165lbs,€775K,25,20,15,29,29,Right,6'1
72,11,€20K,77,68,163lbs,€2.4M,23,55,43,55,21,Right,6'2
67,21,€9K,68,61,148lbs,€675K,26,67,63,72,53,Right,5'9
70,52,€15K,70,69,154lbs,€925K,30,65,60,85,64,Left,5'9
73,45,€40K,75,61,183lbs,€2.9M,26,55,31,67,42,Right,6'6
65,24,€2K,77,59,161lbs,€825K,20,65,67,68,48,Left,5'9
63,55,€6K,77,43,137lbs,€675K,19,68,58,34,65,Right,5'9
67,58,€6K,67,65,154lbs,€700K,28,70,72,72,66,Right,5'10
58,59,€1K,78,52,163lbs,€250K,15,57,58,51,49,Left,6'3
63,30,€2K,69,56,212lbs,€400K,22,48,36,56,31,Right,6'7
68,61,€10K,83,65,148lbs,€1.7M,18,67,74,48,57,Left,5'9
74,69,€40K,84,68,198lbs,€5.5M,20,79,77,65,61,Right,6'0
65,50,€1K,65,65,154lbs,€325K,31,61,58,65,56,Right,5'9
65,48,€2K,65,64,172lbs,€425K,27,45,34,71,48,Left,6'1
72,63,€15K,73,61,148lbs,€2.4M,25,81,80,66,64,Right,5'10
58,35,€500,65,51,159lbs,€160K,23,49,47,65,35,Right,5'10
68,10,€15K,76,67,185lbs,€1.1M,22,20,10,35,48,Right,6'4
61,61,€2K,71,55,137lbs,€300K,18,62,60,75,57,Right,5'9
67,20,€4K,82,62,179lbs,€1.2M,17,60,44,65,56,Left,6'2
68,64,€8K,68,65,174lbs,€450K,34,68,64,49,66,Right,5'11
62,51,€500,62,69,165lbs,€220K,28,61,62,70,48,Right,6'0
67,68,€10K,84,59,154lbs,€1.4M,16,69,67,67,64,Right,6'3
74,61,€10K,74,67,152lbs,€3.5M,27,80,74,58,72,Right,5'11
72,63,€7K,80,67,143lbs,€3.2M,21,74,76,62,68,Right,5'10
69,64,€15K,76,65,161lbs,€1.4M,21,68,67,85,62,Right,5'10
68,38,€7K,68,66,168lbs,€475K,32,72,58,70,49,Left,5'11
65,65,€3K,65,60,157lbs,€525K,29,65,64,71,52,Left,5'10
65,52,€7K,82,51,143lbs,€1M,18,70,75,60,56,Right,5'8
59,42,€1K,69,51,157lbs,€230K,19,62,60,61,59,Right,5'9
83,75,€70K,83,81,176lbs,€24M,26,84,87,76,79,Right,6'0
64,66,€2K,73,58,181lbs,€675K,20,62,61,60,47,Left,5'10
70,31,€8K,76,61,165lbs,€1.6M,23,66,55,73,46,Right,6'2
56,52,€500,64,60,168lbs,€150K,22,54,54,61,53,Right,5'11
68,35,€9K,74,58,181lbs,€1M,23,66,68,74,59,Right,6'1
82,72,€20K,82,75,194lbs,€16M,28,80,67,79,74,Right,6'5
73,49,€10K,73,70,143lbs,€240K,36,76,72,45,87,Right,5'7
59,39,€500,69,52,121lbs,€220K,21,58,52,89,55,Right,5'5
67,27,€3K,77,58,170lbs,€1M,22,61,32,63,27,Right,6'0
71,53,€10K,76,65,157lbs,€2.2M,21,76,78,60,69,Right,5'10
74,31,€50K,77,69,192lbs,€3.5M,25,51,36,66,36,Right,6'3
72,10,€10K,72,59,174lbs,€1.7M,30,24,11,26,19,Right,6'0
55,18,€2K,68,50,165lbs,€150K,21,33,23,53,30,Right,6'2
70,61,€0,70,78,152lbs,€0,30,70,60,72,67,Left,5'7
62,37,€2K,62,51,150lbs,€230K,26,59,58,86,62,Left,5'8
66,35,€7K,66,65,172lbs,€600K,28,71,65,70,51,Right,6'2
