Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,PreferredFoot,Height
73,65,14,73,70,17,47,30,75,70,83,70,1,4
72,73,2,72,81,13,7,32,75,74,80,68,1,7
71,35,31,74,78,20,7,25,71,65,78,40,1,1
77,42,8,85,71,21,166,23,73,67,81,66,1,0
66,44,26,66,76,17,132,24,56,48,86,42,1,7
62,59,17,65,57,25,98,23,61,62,37,55,1,10
66,63,25,69,60,18,153,24,64,66,76,63,0,1
66,47,25,66,64,25,125,27,68,66,71,44,0,10
68,70,25,68,68,21,155,30,64,60,68,60,1,9
59,13,13,63,45,32,34,23,18,15,35,18,0,12
69,52,29,73,62,22,1,24,67,66,74,70,1,1
72,13,37,82,67,25,101,21,17,19,42,28,1,13
63,59,17,63,66,17,88,30,64,65,73,65,1,0
55,24,17,69,47,9,31,19,43,54,67,40,0,7
72,41,2,75,66,23,43,24,61,56,78,66,0,0
76,68,19,81,75,15,151,22,75,80,68,71,1,7
57,53,13,68,50,30,39,19,58,48,61,45,1,12
61,49,29,61,55,16,62,26,59,63,64,48,0,0
67,11,22,69,62,28,147,26,22,12,34,35,0,13
53,38,26,53,51,18,126,27,52,53,77,52,0,8
59,57,31,74,54,21,74,19,67,68,58,49,0,8
54,38,13,67,49,14,18,18,54,55,52,53,1,7
58,26,22,66,52,4,34,21,51,46,66,51,1,6
60,51,22,60,61,16,52,26,61,58,70,48,1,0
65,64,0,65,52,28,0,27,65,61,60,49,1,11
73,64,8,77,65,18,86,23,77,78,58,78,0,7
74,30,14,74,74,11,49,26,75,65,84,60,1,8
71,63,19,77,62,19,43,23,72,73,82,66,0,10
81,75,23,87,79,18,54,21,80,81,79,83,1,1
76,25,23,76,72,22,79,32,57,17,66,43,1,11
72,27,8,78,70,28,46,22,70,64,78,68,1,9
72,66,31,77,73,8,45,24,74,73,75,71,1,8
67,35,33,67,63,18,93,33,57,49,53,47,1,9
73,65,2,73,75,10,49,28,69,66,75,80,1,7
65,54,25,66,66,16,136,25,66,65,78,61,1,0
68,68,31,72,55,29,2,24,72,73,65,58,0,1
70,53,8,70,63,26,41,28,69,69,81,66,1,9
73,57,27,78,69,12,86,24,75,65,72,75,0,0
64,46,17,74,63,22,138,21,62,60,69,52,1,0
65,55,17,69,59,15,140,22,71,66,72,68,1,8
70,56,31,71,67,16,3,26,70,64,81,65,1,0
75,68,23,75,72,20,87,28,75,75,73,72,1,9
56,13,25,58,49,26,11,28,29,15,32,34,1,12
76,65,2,76,70,21,104,27,73,70,78,58,1,1
74,28,33,79,75,29,87,22,57,40,60,30,1,13
67,52,35,67,61,18,132,28,62,58,72,59,1,7
85,15,10,85,82,24,76,29,19,16,39,54,1,10
71,5,2,72,56,32,6,28,15,11,25,23,1,11
71,17,37,80,66,30,43,21,22,16,30,50,1,13
63,25,22,63,50,26,56,31,58,40,71,48,0,0
54,58,26,68,43,30,24,18,57,56,64,42,1,14
64,59,22,64,57,19,111,30,55,62,70,64,1,9
63,39,17,63,53,37,0,37,40,34,52,35,1,12
69,61,29,74,63,16,3,22,67,72,69,62,0,5
64,23,13,68,53,25,121,24,57,48,77,49,1,10
70,72,25,81,70,15,42,19,68,74,58,62,1,6
83,11,19,88,79,20,75,23,23,19,30,44,1,11
76,33,23,81,75,10,142,23,72,74,75,45,1,8
65,44,22,74,60,10,155,21,71,74,64,65,1,8
72,71,8,77,67,14,50,23,76,79,64,65,0,0
73,48,2,76,75,3,84,24,72,73,75,62,1,8
63,56,22,72,62,12,127,20,60,68,60,52,1,4
70,24,14,70,62,26,164,30,65,59,73,43,1,9
84,71,3,85,80,5,94,25,90,88,77,85,1,3
67,77,2,67,63,21,155,24,73,74,72,52,1,9
69,30,33,70,68,25,165,26,65,58,72,50,1,11
58,23,26,65,50,32,31,21,50,49,60,35,1,9
62,61,22,72,48,23,121,21,64,63,68,43,1,10
63,33,17,63,66,16,59,31,44,40,74,38,1,12
61,56,0,66,53,31,0,22,59,57,64,42,1,11
56,35,13,72,55,34,37,18,57,52,46,48,1,13
72,28,14,72,70,34,7,28,51,39,60,28,1,13
64,24,17,80,53,30,149,18,60,51,62,46,1,10
67,42,17,71,60,24,153,24,63,51,84,64,1,9
51,31,17,56,54,24,137,23,45,45,58,48,1,1
68,63,2,68,66,14,158,26,70,68,75,50,1,7
69,64,29,69,58,18,41,27,70,68,70,68,0,0
66,68,22,69,60,14,153,24,66,73,63,53,0,7
62,66,17,67,52,17,93,18,63,60,52,52,1,9
64,60,22,73,58,10,140,21,67,65,66,55,1,6
73,66,19,73,71,21,45,26,74,74,81,73,0,7
70,66,14,70,70,30,4,27,69,68,78,58,1,10
73,72,23,73,75,36,46,31,70,64,68,73,1,13
58,26,13,69,54,17,34,18,40,55,60,31,1,1
67,65,14,71,55,18,165,23,70,68,63,56,1,11
73,33,13,73,62,26,7,32,71,45,58,45,0,10
61,43,13,79,59,21,115,18,62,60,55,62,0,10
69,66,33,69,63,15,41,26,67,70,70,64,1,0
70,64,29,80,64,17,7,19,69,68,86,70,1,6
66,36,22,75,66,20,157,22,53,50,77,27,1,1
66,38,17,73,58,20,149,23,49,57,88,50,1,9
59,25,17,62,41,21,34,24,46,36,70,36,1,9
79,70,4,79,78,31,159,28,82,72,84,74,1,13
80,75,4,80,75,18,23,26,82,80,88,75,0,8
65,35,22,68,60,25,130,24,60,61,81,47,1,11
77,76,27,77,77,24,151,29,86,85,69,73,1,1
65,15,17,65,75,33,88,35,14,14,39,56,1,10
60,23,26,60,59,26,27,28,44,22,69,32,1,11
53,8,13,71,42,38,11,18,16,12,27,45,0,13
63,63,17,66,50,29,115,25,60,61,59,58,1,9
67,42,31,72,70,25,155,24,68,71,78,58,0,8
67,43,2,70,67,32,150,24,68,67,72,58,1,1
65,5,13,78,59,24,161,20,10,8,27,36,1,9
70,70,2,82,64,8,43,19,74,78,62,67,0,7
67,44,37,67,67,31,127,30,63,53,63,53,1,12
70,69,19,70,68,17,4,27,67,63,74,58,1,9
66,55,25,79,47,14,41,18,65,66,72,60,1,1
67,41,29,72,60,25,155,23,69,54,68,43,0,11
64,13,33,72,52,28,130,22,24,12,18,11,0,12
57,56,17,57,56,14,11,26,62,59,66,54,1,8
54,40,0,63,58,18,0,20,54,53,60,43,1,0
61,61,22,68,51,34,93,20,59,58,62,44,1,1
67,74,37,78,63,18,3,20,66,65,61,52,1,10
75,62,8,78,78,25,134,24,74,73,89,67,1,11
59,20,17,71,52,24,56,18,56,47,61,32,0,11
79,75,19,79,77,11,10,26,80,79,75,76,1,8
66,59,22,66,66,15,115,30,61,63,81,62,1,0
64,62,25,77,60,18,150,19,66,68,66,59,1,9
67,35,33,67,69,18,130,28,63,61,78,45,1,0
76,47,19,76,69,18,104,27,72,65,87,67,1,11
66,32,33,66,52,20,95,32,64,46,60,70,1,11
62,33,22,78,60,22,121,18,59,62,65,41,1,0
56,41,22,65,45,8,24,19,59,72,46,45,0,6
84,49,7,84,76,38,60,29,65,64,69,47,1,12
66,51,25,72,58,16,147,23,65,54,50,53,0,8
72,13,8,73,67,27,42,28,19,18,20,48,1,12
64,31,22,74,62,16,144,21,66,67,63,61,1,6
67,67,35,67,66,24,98,34,66,65,54,64,1,9
74,42,23,74,71,10,43,31,71,61,92,60,1,6
58,64,33,74,50,26,74,19,62,55,60,55,1,13
63,56,29,63,56,3,93,28,62,56,82,62,1,7
58,38,17,58,55,20,15,26,55,55,70,47,1,1
68,47,26,70,62,22,161,24,58,48,73,46,1,11
68,44,25,68,68,14,121,32,68,66,64,54,0,7
67,60,22,67,69,11,150,26,70,69,68,58,1,7
74,76,27,77,70,33,104,25,74,70,72,59,1,12
64,30,17,72,68,14,130,21,57,58,62,47,1,0
64,49,22,66,59,28,115,25,58,53,78,58,1,10
57,47,17,63,52,16,24,20,52,56,70,49,1,0
69,42,25,69,59,21,0,36,59,47,34,40,1,8
50,34,13,63,51,21,137,19,50,46,56,45,1,0
68,14,22,68,67,22,144,27,15,16,39,42,1,11
56,56,13,66,51,11,34,21,57,59,59,47,1,5
60,55,13,60,61,18,162,34,66,64,45,67,1,7
73,48,8,74,74,23,49,26,73,64,83,72,0,9
53,35,13,67,51,16,15,18,49,48,62,43,1,1
65,66,22,66,65,18,125,26,63,61,69,66,1,8
80,74,30,83,76,28,38,23,84,84,73,71,1,1
65,28,22,65,63,21,98,29,59,45,71,51,1,10
75,71,14,82,81,9,142,23,74,78,67,72,1,6
60,35,22,60,47,8,24,29,53,52,74,46,0,7
71,49,37,71,67,16,0,37,70,71,52,69,1,6
51,11,26,69,47,23,145,18,12,11,32,34,1,1
74,77,14,74,68,34,85,26,70,65,76,62,1,11
64,58,25,73,63,22,139,22,65,65,63,65,1,1
66,54,22,74,72,23,161,22,71,67,72,58,1,11
70,65,2,78,66,19,78,21,68,71,59,56,1,1
61,34,17,68,50,20,74,22,47,47,54,46,1,9
72,72,2,72,69,19,9,30,74,72,77,72,1,0
75,62,19,85,71,25,142,20,80,76,71,73,0,11
56,13,22,65,47,20,24,20,24,18,30,29,1,9
64,59,33,64,65,26,115,28,61,62,88,58,1,9
66,39,17,73,61,22,149,23,61,56,86,34,1,8
53,24,13,61,46,26,154,21,27,23,58,31,1,9
75,67,27,75,76,25,2,34,77,70,79,58,1,9
63,68,25,76,49,29,139,20,65,56,62,51,1,13
61,62,22,68,56,27,93,23,65,67,63,62,0,10
79,58,27,79,77,19,159,28,76,66,83,69,1,1
70,28,35,73,70,21,4,26,66,54,80,53,1,1
65,59,31,65,61,20,125,28,64,66,72,66,1,1
67,33,8,67,69,14,127,29,55,52,75,54,0,7
50,6,26,60,46,24,112,17,13,10,19,36,1,10
69,45,25,69,71,21,138,33,70,66,69,65,1,9
65,65,22,71,62,19,149,23,59,62,68,54,1,11
64,54,13,72,58,22,118,18,63,61,78,55,1,9
65,33,22,70,59,18,136,22,61,60,74,36,0,8
66,40,22,78,70,31,41,21,59,34,60,64,1,14
62,15,13,63,52,35,74,26,23,15,25,39,1,12
64,17,25,64,59,25,74,31,45,45,51,42,1,9
66,25,31,72,58,19,147,21,63,59,61,50,0,0
55,21,13,70,40,19,27,18,31,28,56,27,1,1
64,21,17,64,54,29,95,28,42,29,72,38,1,9
63,39,13,64,60,24,88,27,62,58,80,55,0,9
62,44,17,62,63,24,74,27,65,60,55,71,1,10
56,19,22,64,47,31,21,21,20,13,28,35,1,14
65,9,35,66,66,27,125,25,25,18,30,43,1,10
59,53,17,68,55,12,65,22,56,52,60,63,1,6
63,15,17,63,72,20,59,31,43,38,58,25,1,1
79,75,19,82,76,13,17,25,82,80,69,78,0,6
55,23,13,67,46,28,18,18,38,30,41,26,1,11
66,65,25,70,58,18,155,22,74,76,62,68,0,8
70,54,2,70,63,18,4,26,73,77,55,68,0,6
65,31,22,69,63,25,132,23,60,57,75,42,1,10
65,64,22,65,58,27,95,33,61,60,70,60,1,1
77,70,19,80,67,11,152,24,77,77,81,69,0,6
65,22,22,72,60,31,139,22,46,31,59,32,1,13
68,31,2,69,64,34,155,26,46,32,68,46,1,11
70,45,8,83,68,28,44,21,62,59,67,38,1,13
70,14,22,75,64,27,5,23,51,43,60,29,0,11
61,59,13,62,57,21,74,26,58,57,65,58,1,1
64,44,17,67,57,21,118,24,65,68,79,57,0,8
78,11,23,78,74,24,151,30,21,16,34,55,1,15
58,52,17,61,50,16,31,25,66,63,72,48,1,8
54,32,26,68,53,17,24,17,52,51,49,49,1,8
56,50,17,59,57,20,15,24,52,52,62,47,1,0
63,11,22,64,57,34,88,27,48,38,60,49,1,14
71,63,8,71,71,23,5,30,68,70,82,70,1,9
61,59,33,70,52,9,95,20,60,62,53,56,1,6
71,48,2,71,70,26,2,29,68,68,79,55,1,9
63,12,17,63,53,21,11,34,50,24,57,42,1,11
76,66,23,78,73,15,135,24,75,75,80,74,0,8
68,48,2,68,63,21,157,27,68,67,76,59,0,8
68,49,25,68,66,20,139,32,69,62,69,68,1,0
61,68,35,75,58,23,125,20,65,50,54,61,1,9
68,36,8,68,64,25,125,32,51,44,77,56,1,10
71,33,29,78,64,16,78,21,69,71,78,62,0,8
68,46,14,68,62,27,125,32,67,61,84,46,1,10
70,57,8,77,65,18,6,23,71,70,69,62,1,8
55,37,22,69,51,14,39,20,63,59,49,52,1,0
67,66,25,67,64,24,147,27,62,63,67,59,0,8
67,55,2,77,56,16,2,20,73,80,55,64,0,1
60,56,17,69,55,26,74,20,60,61,65,59,1,10
68,32,29,68,65,29,138,30,62,40,70,57,1,11
84,58,5,88,81,28,92,24,70,53,74,55,1,9
74,13,8,75,74,27,79,27,22,14,33,40,1,13
62,53,22,76,62,13,132,19,68,61,80,52,0,8
67,12,25,71,62,21,150,25,20,15,29,29,1,10
72,11,14,77,68,20,45,23,55,43,55,21,1,11
67,21,37,68,61,13,140,26,67,63,72,53,1,8
70,52,8,70,69,16,163,30,65,60,85,64,0,8
73,45,23,75,61,29,50,26,55,31,67,42,1,15
65,24,17,77,59,19,155,20,65,67,68,48,0,8
63,55,31,77,43,8,140,19,68,58,34,65,1,8
67,58,31,67,65,16,144,28,70,72,72,66,1,0
58,59,13,78,52,20,68,15,57,58,51,49,0,12
63,30,17,69,56,42,111,22,48,36,56,31,1,16
68,61,2,83,65,13,7,18,67,74,48,57,0,8
74,69,23,84,68,36,123,20,79,77,65,61,1,9
65,50,13,65,65,16,93,31,61,58,65,56,1,8
65,48,17,65,64,24,115,27,45,34,71,48,0,10
72,63,8,73,61,13,45,25,81,80,66,64,1,0
58,35,26,65,51,18,31,23,49,47,65,35,1,0
68,10,8,76,67,30,1,22,20,10,35,48,1,13
61,61,17,71,55,8,88,18,62,60,75,57,1,8
67,20,25,82,62,27,2,17,60,44,65,56,0,11
68,64,35,68,65,25,118,34,68,64,49,66,1,1
62,51,26,62,69,21,59,28,61,62,70,48,1,9
67,68,2,84,59,16,4,16,69,67,67,64,1,12
74,61,2,74,67,15,83,27,80,74,58,72,1,1
72,63,33,80,67,11,80,21,74,76,62,68,1,0
69,64,8,76,65,19,4,21,68,67,85,62,1,0
68,38,33,68,66,22,121,32,72,58,70,49,0,1
65,65,22,65,60,17,127,29,65,64,71,52,0,0
65,52,33,82,51,11,41,18,70,75,60,56,1,7
59,42,13,69,51,17,62,19,62,60,61,59,1,8
83,75,32,83,81,26,66,26,84,87,76,79,1,9
64,66,17,73,58,28,140,20,62,61,60,47,0,0
70,31,35,76,61,21,6,23,66,55,73,46,1,11
56,52,26,64,60,22,27,22,54,54,61,53,1,1
68,35,37,74,58,28,41,23,66,68,74,59,1,10
82,72,14,82,75,34,32,28,80,67,79,74,1,14
73,49,2,73,70,11,65,36,76,72,45,87,1,6
59,39,26,69,52,1,59,21,58,52,89,55,1,4
67,27,22,77,58,23,41,22,61,32,63,27,1,9
71,53,2,76,65,17,43,21,76,78,60,69,1,0
74,31,27,77,69,33,83,25,51,36,66,36,1,12
72,10,2,72,59,25,7,30,24,11,26,19,1,9
55,18,17,68,50,21,27,21,33,23,53,30,1,11
70,61,0,70,78,15,0,30,70,60,72,67,0,6
62,37,17,62,51,14,62,26,59,58,86,62,0,7
66,35,33,66,65,24,136,28,71,65,70,51,1,11
70,51,2,70,69,22,1,27,69,68,78,51,1,9
69,28,25,69,61,24,139,31,63,45,63,38,0,10
57,37,22,71,59,21,59,19,36,70,55,39,0,8
78,77,23,78,75,19,159,30,74,73,78,69,1,10
61,24,25,67,49,15,74,22,62,56,70,46,1,10
63,57,13,72,53,22,127,21,72,72,68,51,1,9
60,20,13,73,50,16,93,20,51,41,63,29,1,1
57,58,17,67,55,12,37,19,56,63,60,50,1,0
67,69,31,67,67,16,144,29,65,67,64,65,1,1
64,68,17,64,46,24,115,28,62,61,68,58,1,10
69,70,8,69,70,30,41,28,69,64,66,54,1,13
71,69,31,71,68,34,2,29,68,64,61,69,1,10
52,60,17,63,49,35,162,21,42,40,53,49,1,12
59,27,22,65,53,29,39,21,34,26,63,32,1,9
66,63,29,76,52,13,161,19,67,71,69,61,0,8
57,33,26,74,52,20,52,16,42,40,49,26,1,9
56,49,26,57,49,31,18,26,50,55,34,49,1,0
65,60,25,73,57,15,153,22,67,72,73,48,1,6
71,22,30,81,59,30,44,22,58,33,61,44,0,13
66,33,29,73,57,21,149,20,50,30,66,30,0,9
75,41,30,85,73,21,142,21,69,63,75,53,0,1
64,66,17,74,55,19,147,21,64,64,79,56,1,9
76,29,23,83,73,31,135,23,55,53,68,34,1,10
62,15,22,64,50,28,74,26,13,16,20,46,1,0
71,72,14,71,70,30,158,34,70,59,45,70,1,9
60,41,17,65,56,16,56,24,60,62,65,49,0,1
65,65,22,72,57,24,149,22,61,62,73,51,0,9
58,56,17,64,49,19,37,22,57,57,85,50,0,1
58,28,13,74,49,21,62,18,55,56,69,49,1,1
77,42,19,77,75,20,87,32,71,72,78,60,1,0
60,40,17,69,55,19,74,20,58,56,60,63,1,9
59,56,13,69,58,16,68,20,61,59,55,59,1,0
67,17,22,68,59,32,144,29,21,13,18,50,1,13
71,28,35,76,64,26,8,25,54,39,73,31,1,10
66,55,25,66,64,22,121,29,66,67,90,68,1,1
79,13,14,79,76,20,143,32,12,19,34,51,1,9
80,16,30,80,76,26,13,30,55,53,69,18,1,12
60,60,17,60,60,16,11,32,61,57,68,57,1,8
69,46,37,75,61,13,2,23,61,70,83,40,1,6
71,22,17,72,65,19,5,27,51,37,64,41,1,9
63,12,13,63,60,30,74,27,18,14,30,28,1,12
72,64,31,79,72,22,101,21,73,74,75,70,0,9
60,66,37,69,44,22,88,20,68,70,49,50,1,9
66,54,22,66,67,10,162,35,61,60,68,63,1,0
70,14,14,74,65,25,4,25,27,12,44,36,1,10
77,48,14,77,65,23,123,27,76,65,80,51,1,1
59,13,13,64,46,26,34,25,18,12,20,48,1,11
59,54,17,77,47,10,88,17,60,66,39,46,0,8
76,52,14,76,71,29,122,29,70,53,81,60,1,1
70,67,37,71,62,15,6,25,75,80,41,48,0,0
69,70,23,79,66,24,7,20,69,68,68,60,0,9
67,27,14,67,66,8,130,28,66,65,70,58,1,5
69,70,35,73,68,30,3,24,72,69,77,66,1,9
58,38,17,59,68,27,21,26,58,55,61,32,1,8
72,68,29,72,80,21,68,36,65,61,62,67,1,0
72,68,8,72,69,20,78,30,74,68,66,74,0,8
68,17,25,68,68,34,144,30,19,18,30,50,1,12
72,48,0,72,69,24,0,30,66,62,83,73,1,0
64,21,2,79,59,20,149,18,53,52,69,49,1,1
74,49,14,74,75,14,101,30,72,72,91,71,1,5
71,56,2,71,74,18,3,31,73,70,47,79,1,8
58,28,17,67,60,21,24,18,48,52,60,38,0,9
67,67,35,70,66,27,163,25,66,64,75,59,1,0
68,63,31,68,69,25,153,29,66,68,90,64,0,1
76,61,27,77,72,16,142,26,79,77,77,78,1,1
77,40,32,81,71,26,143,25,69,63,75,47,0,10
64,59,22,72,48,15,138,22,70,72,52,49,0,7
56,21,13,66,57,23,27,21,22,13,28,20,1,11
71,53,22,71,66,24,147,33,74,58,75,59,1,0
69,20,29,74,66,32,2,24,48,33,54,44,1,12
67,64,8,67,64,24,140,29,66,68,52,62,1,1
69,74,14,69,72,19,41,28,64,69,67,65,1,8
68,30,22,73,59,23,41,23,49,33,60,25,1,10
57,39,26,69,64,16,31,18,52,54,80,52,1,8
54,19,13,67,52,29,21,20,25,33,52,29,0,13
65,58,17,70,59,16,144,20,65,69,75,62,1,7
62,39,17,71,60,10,98,21,61,54,69,48,1,8
68,58,35,68,66,21,137,38,74,70,30,68,1,7
70,11,2,70,59,28,62,38,15,13,28,32,1,12
65,52,29,70,60,11,144,23,64,68,50,64,1,7
67,60,35,74,62,28,41,21,67,68,68,59,1,1
62,62,25,72,58,21,121,21,65,63,61,50,1,1
73,47,23,74,76,13,81,26,77,62,79,76,1,6
78,77,8,84,75,21,19,22,84,86,77,83,0,9
67,31,25,72,64,31,153,25,60,33,65,50,1,11
57,62,13,58,49,29,24,26,49,58,58,51,1,10
72,27,33,72,67,22,6,29,68,61,90,54,1,9
63,42,17,70,56,29,111,22,46,50,62,56,1,11
69,12,29,69,69,25,155,27,21,17,26,37,1,12
71,50,35,79,66,20,45,22,78,76,69,70,1,9
71,51,29,75,71,20,8,23,75,68,64,65,1,9
50,9,26,67,48,21,137,18,13,8,26,37,1,10
68,68,22,76,64,24,3,21,69,70,64,45,1,1
64,62,17,67,52,24,130,25,63,61,58,57,1,11
71,65,2,71,63,27,4,26,67,68,74,55,1,13
64,62,22,81,53,11,157,17,68,81,83,55,1,6
57,38,25,73,58,11,62,18,54,56,60,55,1,7
54,9,26,65,56,25,162,18,15,14,19,31,1,9
70,43,33,70,72,16,41,32,68,63,80,71,1,0
52,7,26,70,34,19,154,17,17,8,28,28,1,9
67,24,37,72,65,30,155,24,60,55,60,35,1,12
76,11,30,76,73,38,86,33,31,12,30,41,1,15
68,56,17,68,70,18,140,32,71,66,45,73,1,9
69,64,33,69,66,20,161,30,69,70,73,64,0,9
59,59,22,73,55,21,95,20,56,63,58,57,0,10
72,65,13,79,66,20,50,23,75,72,74,71,1,0
58,64,17,65,49,19,34,19,60,53,51,49,1,11
78,73,19,78,79,36,143,30,77,66,91,74,1,13
59,43,13,66,49,15,59,20,61,61,81,60,1,8
65,22,22,69,58,29,132,22,63,60,73,33,0,9
63,18,13,69,51,33,111,22,19,15,24,41,1,14
61,61,13,68,43,17,93,22,61,67,58,59,1,0
72,20,14,72,67,18,5,30,49,42,82,36,1,1
68,73,0,68,70,16,0,29,74,79,70,74,1,1
54,46,26,59,63,21,154,24,66,49,57,39,1,1
68,28,37,68,68,31,139,29,43,40,57,29,1,12
69,64,31,69,65,15,95,35,72,69,65,69,1,0
71,52,19,82,64,27,46,22,60,47,60,26,1,11
72,29,14,72,62,27,5,30,66,39,78,48,1,9
81,40,4,81,80,18,151,33,75,74,84,59,1,8
65,63,2,74,60,17,155,21,73,72,67,55,1,0
52,19,17,62,47,15,137,17,25,24,58,26,1,9
52,15,13,60,44,25,137,22,14,16,35,45,1,12
54,59,22,67,54,18,21,19,47,49,50,48,0,10
58,47,26,58,50,23,18,30,58,48,68,55,1,0
75,68,19,82,69,22,142,22,75,75,69,74,1,8
79,80,30,79,74,31,10,27,78,72,66,65,1,12
77,14,23,77,70,36,106,34,28,25,42,50,1,12
52,22,26,64,47,15,145,19,30,37,64,26,1,9
65,18,25,71,64,31,138,22,52,44,63,47,1,12
75,57,27,75,71,19,82,27,70,71,87,70,1,8
53,18,13,70,49,19,15,19,29,30,62,33,1,11
74,50,19,74,74,23,9,32,72,71,69,57,1,9
62,50,13,65,60,26,95,24,62,63,74,57,1,9
58,5,13,66,55,24,27,19,22,18,22,55,1,9
