Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,Preferred Foot,Height
93,95,€575K,93,95,159lbs,€89M,29,95,97,74,90,Left,5'7
82,51,€100K,83,77,183lbs,€19M,26,75,75,90,69,Right,6'0
81,73,€70K,82,80,165lbs,€19M,26,82,78,90,81,Right,5'10
78,51,€30K,82,77,179lbs,€9.5M,22,77,70,81,80,Right,5'11
79,65,€70K,79,78,185lbs,€9.5M,29,79,77,87,74,Right,6'1
86,52,€130K,90,87,132lbs,€50.5M,23,87,88,77,86,Right,5'5
82,65,€70K,87,82,168lbs,€22.5M,23,79,76,87,71,Right,5'9
77,56,€20K,77,75,168lbs,€6.5M,29,78,77,89,77,Right,5'9
80,72,€60K,85,81,148lbs,€19M,22,83,83,77,79,Left,5'7
77,72,€15K,77,71,165lbs,€7M,27,80,82,74,80,Left,5'10
83,65,€140K,86,85,150lbs,€28.5M,25,79,76,94,76,Right,5'6
83,79,€130K,83,78,161lbs,€22.5M,28,86,85,89,83,Right,5'8
79,67,€20K,79,77,152lbs,€8M,28,78,77,79,71,Right,5'10
89,60,€300K,89,82,165lbs,€43.5M,30,83,61,84,63,Right,6'0
89,38,€170K,89,84,174lbs,€39.5M,31,80,68,74,74,Right,6'0
86,74,€170K,86,80,165lbs,€39M,28,87,87,78,85,Left,5'11
82,71,€0,82,81,161lbs,€0,27,85,83,85,78,Right,6'1
77,57,€60K,77,75,176lbs,€4.8M,30,75,70,81,73,Left,6'1
79,60,€100K,85,77,181lbs,€14M,22,80,76,86,78,Right,6'0
83,65,€70K,83,82,172lbs,€14.5M,31,76,74,79,72,Right,6'0
79,71,€60K,79,72,165lbs,€9.5M,30,83,82,73,79,Right,5'9
78,66,€50K,78,78,172lbs,€7.5M,30,78,80,86,72,Right,6'0
85,77,€160K,85,84,146lbs,€28.5M,31,87,86,72,85,Right,5'6
88,83,€275K,91,88,150lbs,€65.5M,25,86,85,85,88,Right,5'11
84,64,€170K,84,82,185lbs,€24M,27,79,72,90,77,Left,6'4
80,73,€50K,80,79,165lbs,€15M,26,83,84,79,81,Right,5'10
80,71,€70K,85,80,163lbs,€16M,23,80,76,80,75,Left,6'0
87,83,€275K,87,79,172lbs,€43.5M,28,87,84,76,87,Right,6'0
85,59,€80K,85,83,161lbs,€23.5M,30,81,77,91,70,Left,6'0
81,58,€20K,81,82,143lbs,€11.5M,30,80,75,87,70,Left,5'8
80,69,€80K,80,79,157lbs,€12.5M,30,82,71,73,79,Right,5'9
81,69,€15K,81,83,174lbs,€14M,31,80,71,64,84,Right,6'0
79,61,€40K,79,69,172lbs,€7.5M,30,82,73,67,80,Left,5'11
84,71,€80K,88,84,163lbs,€37M,24,86,80,82,89,Right,5'10
77,65,€50K,88,76,154lbs,€10M,18,77,78,91,68,Right,5'9
80,72,€70K,85,74,165lbs,€19M,23,82,81,79,83,Right,5'11
82,64,€70K,85,80,150lbs,€25M,24,84,84,82,85,Left,5'8
78,61,€100K,81,79,172lbs,€9M,24,77,73,83,62,Right,6'0
84,59,€170K,88,83,176lbs,€32.5M,24,77,69,85,73,Right,6'0
77,54,€20K,77,72,161lbs,€5.5M,28,72,71,89,56,Left,6'1
81,73,€30K,81,86,179lbs,€16M,29,84,74,61,82,Right,6'0
83,73,€120K,85,82,168lbs,€27.5M,25,84,81,90,80,Right,6'0
77,71,€30K,77,74,165lbs,€5.5M,32,80,80,79,75,Right,5'6
83,71,€130K,83,78,157lbs,€22.5M,28,85,90,83,70,Right,5'10
84,56,€180K,84,79,185lbs,€22M,29,79,66,77,69,Right,6'2
80,75,€120K,80,75,159lbs,€14.5M,26,82,80,88,75,Left,5'9
82,67,€70K,82,80,163lbs,€15M,32,79,74,83,79,Right,5'11
82,52,€60K,82,80,139lbs,€14.5M,30,84,76,80,80,Right,5'10
77,60,€15K,77,74,165lbs,€3.9M,32,74,71,80,59,Left,5'9
80,75,€50K,88,76,128lbs,€21M,20,81,83,75,79,Left,5'7
78,71,€30K,81,77,157lbs,€10.5M,24,77,72,89,76,Left,6'0
90,91,€250K,90,88,174lbs,€71M,27,87,85,79,78,Right,6'1
82,71,€40K,85,81,157lbs,€25M,24,84,81,81,83,Right,5'10
80,66,€80K,87,80,154lbs,€20M,21,78,77,80,79,Right,5'9
79,53,€70K,79,75,159lbs,€10.5M,26,84,83,93,63,Right,5'10
76,65,€60K,77,72,159lbs,€4.9M,27,81,77,76,75,Right,5'11
79,65,€40K,79,81,183lbs,€10.5M,26,79,78,86,77,Right,6'0
81,57,€60K,84,81,143lbs,€21M,24,84,77,83,83,Right,5'11
83,50,€70K,83,80,183lbs,€13.5M,32,78,64,79,72,Right,6'0
86,76,€225K,86,81,163lbs,€36M,29,86,80,80,91,Right,5'9
90,90,€300K,90,85,209lbs,€36.5M,34,90,85,75,83,Right,6'5
87,82,€225K,90,84,165lbs,€58M,24,85,84,68,86,Left,5'11
82,74,€80K,85,79,159lbs,€25M,24,83,84,78,79,Left,5'7
81,66,€60K,84,77,150lbs,€21M,23,84,81,83,81,Right,5'11
79,59,€30K,86,68,159lbs,€12M,22,80,81,82,66,Right,6'0
79,75,€30K,79,77,143lbs,€10.5M,26,80,79,75,76,Right,5'9
79,57,€60K,82,76,148lbs,€11M,24,76,76,87,65,Right,5'8
80,57,€2K,82,77,154lbs,€14M,26,77,69,80,75,Left,5'11
80,73,€40K,81,75,168lbs,€16.5M,25,83,82,80,83,Right,6'0
83,72,€70K,88,82,161lbs,€31M,23,85,84,88,82,Right,5'10
74,61,€10K,74,72,163lbs,€2.7M,27,73,75,78,66,Left,5'10
83,51,€130K,88,77,165lbs,€27M,22,75,69,80,58,Left,6'0
77,61,€50K,77,71,179lbs,€3.9M,32,75,73,84,54,Left,6'1
78,66,€30K,78,78,157lbs,€7.5M,30,82,67,88,73,Right,5'10
78,74,€30K,78,78,179lbs,€8M,28,74,67,92,74,Right,5'10
79,60,€30K,85,78,154lbs,€12M,22,78,83,72,75,Right,5'9
79,76,€60K,79,76,154lbs,€10.5M,27,81,80,74,80,Right,5'10
78,58,€40K,81,76,148lbs,€8.5M,25,76,75,80,70,Right,5'9
77,62,€15K,83,75,168lbs,€9.5M,21,80,77,85,78,Left,5'9
80,69,€30K,80,82,163lbs,€14M,27,81,80,90,80,Right,5'11
84,65,€110K,84,82,157lbs,€28.5M,28,87,85,69,88,Right,5'9
82,69,€40K,82,80,159lbs,€18.5M,29,80,73,80,84,Right,5'9
78,61,€10K,78,78,174lbs,€6.5M,28,79,76,92,75,Right,6'2
77,73,€40K,80,76,161lbs,€8.5M,25,78,79,75,78,Right,5'9
88,75,€325K,89,85,172lbs,€59.5M,26,85,78,78,88,Right,6'0
79,71,€70K,82,79,194lbs,€11M,24,77,79,90,71,Right,6'3
79,73,€20K,90,76,165lbs,€15.5M,19,81,76,70,81,Right,5'10
75,68,€40K,75,78,168lbs,€3M,29,78,74,85,77,Left,6'0
77,54,€20K,82,75,165lbs,€8M,22,80,77,77,78,Left,5'7
75,60,€20K,78,75,157lbs,€5M,25,75,76,88,70,Right,5'8
81,59,€30K,81,85,168lbs,€13.5M,27,81,76,93,66,Right,5'11
83,82,€120K,87,81,168lbs,€31.5M,24,85,87,86,83,Right,5'11
81,78,€20K,81,85,150lbs,€10.5M,33,80,79,70,86,Right,5'7
75,68,€50K,75,68,152lbs,€3.3M,27,75,75,80,67,Right,5'8
88,88,€140K,91,90,148lbs,€66.5M,25,86,87,75,76,Left,5'9
80,62,€70K,82,84,163lbs,€17M,25,78,77,94,79,Right,5'9
80,58,€50K,80,78,159lbs,€9M,31,78,76,82,56,Right,6'0
81,80,€20K,84,84,154lbs,€21M,23,78,72,88,77,Right,5'10
77,57,€80K,82,70,181lbs,€9M,23,77,76,89,72,Right,5'11
81,74,€80K,81,80,154lbs,€16M,29,85,83,86,82,Right,5'11
82,78,€30K,82,79,141lbs,€20.5M,26,83,88,79,87,Right,5'7
81,57,€90K,82,79,168lbs,€16M,25,76,79,83,73,Left,5'9
80,52,€30K,80,79,139lbs,€13M,29,80,72,86,76,Right,5'5
83,46,€130K,83,88,165lbs,€20M,26,77,70,88,68,Right,5'10
81,66,€70K,88,80,157lbs,€23.5M,21,81,79,79,81,Left,6'2
80,58,€30K,80,82,148lbs,€13M,29,84,80,84,81,Left,5'7
83,71,€110K,83,79,143lbs,€24.5M,25,84,87,76,80,Left,5'7
80,69,€30K,80,80,172lbs,€11M,32,80,79,65,86,Right,5'8
79,54,€20K,79,77,152lbs,€7M,30,82,71,85,64,Right,5'10
77,63,€60K,77,71,165lbs,€3.9M,32,79,80,81,72,Left,5'11
92,89,€450K,94,88,150lbs,€106M,24,95,96,79,80,Right,5'9
82,75,€90K,82,73,183lbs,€20M,27,85,84,79,81,Right,6'4
79,72,€20K,79,78,165lbs,€9M,30,84,74,75,83,Right,5'9
77,65,€50K,78,77,159lbs,€8M,25,78,78,86,75,Left,5'9
77,65,€30K,78,72,174lbs,€8M,26,80,78,74,78,Right,5'11
83,67,€80K,83,84,161lbs,€20M,31,88,86,76,86,Right,5'9
81,68,€40K,84,77,163lbs,€17M,25,75,73,88,57,Right,6'0
81,61,€60K,84,76,170lbs,€20.5M,25,85,84,83,82,Right,6'0
80,63,€90K,84,81,192lbs,€15.5M,25,74,74,85,67,Right,6'0
75,60,€20K,75,82,150lbs,€3.1M,28,73,76,84,73,Left,5'9
83,50,€110K,83,80,165lbs,€13M,32,75,76,88,62,Right,6'0
81,66,€50K,86,79,172lbs,€19.5M,22,78,75,88,72,Right,6'2
73,67,€30K,76,71,170lbs,€3.1M,24,73,74,85,69,Right,6'2
79,67,€50K,84,75,154lbs,€13.5M,24,83,80,78,80,Right,6'0
77,66,€50K,77,78,159lbs,€6.5M,28,77,74,72,80,Right,5'9
83,68,€150K,89,79,185lbs,€31.5M,22,81,82,77,83,Right,6'2
78,66,€70K,78,76,132lbs,€7M,31,82,82,79,76,Right,5'6
78,70,€10K,78,80,161lbs,€7.5M,30,78,76,84,77,Right,5'10
76,59,€20K,83,78,163lbs,€7.5M,20,77,76,80,75,Right,6'0
82,81,€90K,82,77,170lbs,€21M,26,82,78,83,84,Right,6'1
79,72,€40K,80,75,141lbs,€11.5M,25,82,79,94,78,Right,5'7
79,68,€50K,86,77,168lbs,€14M,21,84,80,85,77,Right,6'3
79,63,€50K,86,75,176lbs,€14M,22,78,78,82,75,Right,6'0
85,87,€70K,88,85,161lbs,€42M,25,84,85,80,77,Right,5'9
77,57,€40K,77,78,154lbs,€3.9M,32,77,70,76,75,Right,5'10
78,77,€60K,83,77,176lbs,€11.5M,22,77,77,76,75,Left,6'3
79,49,€40K,80,77,172lbs,€9.5M,25,78,77,83,63,Right,5'8
79,58,€20K,79,76,161lbs,€5.5M,32,76,77,88,65,Right,5'8
77,71,€70K,78,73,174lbs,€8M,26,75,78,92,73,Right,6'2
84,78,€100K,84,80,179lbs,€28.5M,27,83,84,86,78,Right,6'1
78,78,€70K,78,76,161lbs,€8.5M,28,79,79,83,76,Right,5'6
89,81,€300K,90,85,163lbs,€71.5M,25,91,93,77,86,Right,5'8
80,76,€70K,80,73,170lbs,€13M,29,80,84,73,78,Right,5'10
79,70,€50K,84,73,157lbs,€11.5M,23,77,76,88,69,Right,6'0
82,65,€100K,82,81,170lbs,€16M,27,77,78,90,70,Right,5'10
86,85,€170K,86,85,157lbs,€38.5M,29,80,80,90,77,Right,6'0
79,67,€20K,82,72,170lbs,€13M,24,78,79,89,78,Left,5'8
78,63,€110K,79,72,132lbs,€9.5M,26,79,83,89,72,Left,5'9
81,46,€110K,82,85,159lbs,€16M,26,80,73,86,79,Left,5'11
75,53,€15K,75,76,143lbs,€3.1M,29,77,74,82,75,Left,5'9
78,73,€50K,78,76,181lbs,€6.5M,29,80,74,80,75,Right,6'0
77,55,€50K,84,74,165lbs,€8.5M,22,82,77,79,82,Right,5'11
76,70,€60K,76,78,170lbs,€4.1M,28,82,73,66,80,Right,5'9
88,70,€325K,88,88,150lbs,€39.5M,32,93,90,62,94,Right,5'7
77,73,€30K,77,75,165lbs,€7M,26,76,77,72,73,Right,6'0
79,60,€40K,84,75,154lbs,€11.5M,24,73,76,90,64,Right,6'0
79,59,€110K,79,72,168lbs,€7M,30,74,72,83,64,Right,5'10
80,74,€130K,81,75,174lbs,€17M,26,78,82,81,65,Right,5'11
75,67,€10K,75,70,183lbs,€2.3M,32,75,74,78,69,Left,5'10
85,82,€190K,89,79,163lbs,€43M,24,91,90,71,84,Right,5'9
80,74,€140K,85,76,157lbs,€19M,23,84,87,74,80,Left,5'9
86,87,€190K,86,92,165lbs,€41.5M,26,82,75,90,81,Right,6'1
87,88,€120K,87,87,176lbs,€47.5M,27,82,82,79,77,Right,6'2
79,73,€70K,79,81,161lbs,€9M,30,81,83,75,74,Right,5'8
84,66,€60K,84,84,161lbs,€22M,32,83,75,76,83,Left,6'0
74,70,€30K,79,72,179lbs,€4.5M,24,74,76,80,68,Right,6'1
85,76,€80K,85,76,170lbs,€31M,29,90,89,73,87,Right,5'9
78,67,€30K,85,76,128lbs,€12M,20,78,76,77,80,Right,5'6
75,68,€20K,77,66,154lbs,€4.1M,26,77,71,82,82,Left,5'11
82,64,€100K,83,81,165lbs,€19M,26,79,75,90,73,Right,6'1
83,54,€60K,83,82,159lbs,€14.5M,31,79,77,89,72,Right,5'11
83,73,€100K,83,83,172lbs,€23M,27,87,88,68,86,Right,6'2
74,51,€0,74,75,159lbs,€0,31,74,71,75,69,Right,5'9
75,72,€40K,75,76,154lbs,€3.4M,31,77,74,79,78,Right,5'10
87,84,€170K,87,87,176lbs,€34M,32,89,91,68,83,Left,5'11
81,75,€40K,81,69,165lbs,€16.5M,27,83,75,76,84,Right,5'11
78,63,€20K,85,77,183lbs,€10.5M,21,73,66,93,72,Right,6'2
77,63,€40K,77,79,172lbs,€5M,30,74,65,78,69,Right,6'0
78,67,€50K,78,71,157lbs,€8.5M,27,82,73,86,82,Right,5'7
79,57,€80K,83,78,148lbs,€11M,23,83,84,77,70,Left,5'7
79,62,€110K,82,82,179lbs,€10.5M,25,78,78,90,65,Left,6'2
77,58,€100K,77,78,168lbs,€6.5M,28,76,71,86,72,Right,5'10
83,52,€120K,84,79,176lbs,€22.5M,26,71,69,81,57,Left,6'2
79,63,€60K,80,79,163lbs,€11.5M,26,80,78,78,80,Right,5'10
78,53,€15K,84,75,176lbs,€10M,21,75,76,89,68,Right,6'0
79,54,€60K,82,78,176lbs,€10.5M,25,75,74,91,58,Left,6'2
73,59,€20K,73,69,176lbs,€2.3M,27,72,69,69,66,Left,5'10
82,81,€90K,90,83,176lbs,€30M,20,83,81,88,82,Right,6'2
75,65,€10K,80,75,168lbs,€5.5M,23,77,76,80,72,Right,6'0
82,72,€20K,82,75,194lbs,€16M,28,80,67,79,74,Right,6'5
80,63,€70K,80,83,183lbs,€6.5M,33,80,74,91,66,Right,6'2
82,78,€110K,82,76,154lbs,€19M,28,85,84,76,67,Right,6'0
80,67,€50K,88,82,154lbs,€21M,21,82,81,81,76,Left,5'11
73,66,€30K,73,71,165lbs,€2.4M,26,74,74,81,73,Left,5'8
81,75,€90K,84,77,176lbs,€21M,24,83,86,82,81,Left,5'11
83,84,€130K,83,86,190lbs,€22M,30,77,74,87,70,Right,6'3
78,75,€30K,78,77,181lbs,€6.5M,28,78,71,76,73,Right,6'0
73,64,€20K,73,74,179lbs,€2.7M,29,73,67,81,70,Right,5'9
80,81,€70K,81,81,172lbs,€16.5M,26,82,79,67,70,Left,5'11
80,65,€0,80,83,190lbs,€0,28,84,85,71,81,Right,6'1
77,55,€80K,83,74,187lbs,€9.5M,22,81,78,79,76,Right,6'0
83,60,€100K,83,81,194lbs,€17.5M,29,74,70,79,65,Left,6'2
75,60,€40K,80,74,161lbs,€5.5M,24,76,74,76,74,Right,5'11
80,69,€30K,80,82,179lbs,€13M,29,80,81,74,81,Left,6'1
79,70,€50K,79,80,163lbs,€10M,28,77,79,80,74,Right,6'0
75,61,€10K,75,82,159lbs,€625K,35,82,66,71,77,Left,5'9
78,74,€50K,78,74,134lbs,€8.5M,27,77,76,73,76,Left,5'5
81,61,€70K,81,80,154lbs,€13.5M,27,72,72,93,76,Right,5'10
83,79,€100K,83,75,163lbs,€22.5M,29,86,91,71,80,Left,5'10
77,69,€30K,77,80,165lbs,€5.5M,28,75,76,88,64,Right,5'9
89,90,€325K,89,88,154lbs,€61.5M,28,89,89,74,83,Right,5'8
80,64,€120K,85,76,150lbs,€16M,24,80,74,79,80,Right,5'10
77,56,€50K,77,77,172lbs,€4.5M,31,74,69,80,73,Right,6'1
77,43,€20K,80,74,168lbs,€7.5M,24,78,75,77,65,Left,5'11
77,74,€30K,80,74,168lbs,€8.5M,25,78,79,80,69,Right,5'11
80,80,€60K,84,81,165lbs,€19M,23,81,79,88,80,Left,5'10
76,50,€30K,76,74,174lbs,€4.2M,27,74,73,79,67,Left,5'11
75,63,€30K,75,72,168lbs,€3.9M,28,75,73,89,74,Right,5'9
77,72,€30K,77,71,174lbs,€7M,28,80,82,81,79,Right,5'11
76,68,€30K,76,70,170lbs,€5M,27,75,70,86,80,Right,6'0
79,56,€30K,84,78,141lbs,€11.5M,21,76,77,77,70,Left,5'8
77,64,€10K,82,74,159lbs,€8M,23,81,75,76,77,Right,5'10
75,51,€20K,78,71,161lbs,€4.4M,23,76,72,84,72,Right,5'8
81,55,€30K,82,80,165lbs,€16M,26,81,74,84,70,Left,6'1
81,69,€60K,81,85,163lbs,€15M,30,82,78,79,82,Right,5'10
81,57,€90K,84,75,159lbs,€17.5M,25,77,78,91,72,Right,5'11
86,88,€180K,93,85,161lbs,€56.5M,22,91,91,83,84,Left,5'10
76,62,€40K,82,73,154lbs,€6M,21,76,74,80,70,Right,5'10
79,56,€70K,79,78,165lbs,€7.5M,29,73,72,90,71,Left,6'0
77,77,€20K,83,76,181lbs,€9.5M,23,78,73,86,73,Right,6'1
80,49,€120K,80,85,163lbs,€9M,31,76,73,76,66,Right,5'10
74,56,€8K,75,75,150lbs,€3.8M,26,72,68,89,74,Right,5'9
75,67,€50K,75,76,174lbs,€1.2M,34,77,70,79,58,Right,6'0
76,65,€30K,77,72,146lbs,€6M,24,77,80,72,73,Right,5'5
82,54,€110K,85,75,148lbs,€20.5M,25,75,77,87,64,Right,5'9
75,65,€20K,80,70,190lbs,€4.7M,22,75,72,83,71,Right,6'3
75,43,€20K,75,73,143lbs,€1.7M,33,75,74,66,67,Left,5'5
78,57,€20K,78,73,159lbs,€7M,27,80,71,88,63,Right,5'10
82,76,€3K,82,77,152lbs,€19M,28,88,87,80,78,Left,5'9
73,56,€10K,73,71,170lbs,€2.3M,27,75,73,70,64,Left,5'9
76,60,€40K,77,74,176lbs,€5M,26,76,70,74,71,Right,6'0
77,49,€50K,78,75,157lbs,€6.5M,26,74,78,83,68,Right,5'7
81,84,€90K,81,84,168lbs,€16.5M,29,76,75,90,72,Right,5'10
77,64,€60K,78,70,170lbs,€8M,25,83,80,74,77,Right,5'11
77,65,€120K,77,68,157lbs,€5.5M,28,72,81,59,69,Left,5'10
75,64,€40K,76,72,161lbs,€4.7M,25,77,74,84,70,Right,6'0
80,62,€15K,81,78,163lbs,€16M,26,85,80,77,83,Right,5'8
77,52,€15K,77,75,168lbs,€5.5M,27,73,74,91,64,Right,6'2
75,58,€40K,83,72,154lbs,€6M,20,78,76,88,74,Right,5'9
73,59,€40K,73,68,150lbs,€2.1M,30,68,59,82,63,Right,5'11
79,63,€50K,79,75,154lbs,€6M,32,78,73,90,72,Right,5'9
79,52,€120K,84,76,163lbs,€11.5M,22,79,73,81,72,Left,5'10
80,61,€80K,81,79,154lbs,€16M,26,80,73,83,77,Right,5'10
77,69,€15K,77,72,174lbs,€7M,27,78,76,74,85,Right,6'0
74,61,€30K,81,70,141lbs,€4.7M,22,75,75,82,73,Right,5'8
75,57,€50K,75,71,161lbs,€3.4M,27,70,71,87,70,Right,5'9
78,69,€60K,78,80,146lbs,€7M,31,76,75,89,79,Right,5'7
80,56,€60K,81,73,176lbs,€13.5M,25,74,73,81,69,Right,6'2
74,64,€40K,74,65,176lbs,€3.2M,29,80,80,72,64,Right,6'1
76,66,€30K,76,72,174lbs,€4.9M,29,77,69,78,74,Left,6'0
80,58,€60K,80,79,181lbs,€10M,30,79,72,90,58,Right,6'2
82,81,€50K,82,84,152lbs,€17M,31,83,87,76,83,Right,5'9
79,42,€20K,79,74,159lbs,€8.5M,26,76,67,82,56,Left,5'9
74,65,€10K,74,72,165lbs,€3.2M,28,77,75,88,77,Right,5'10
76,66,€40K,78,73,152lbs,€6.5M,24,75,75,80,74,Left,5'9
76,65,€15K,82,75,154lbs,€7M,22,78,79,85,75,Left,5'9
73,56,€40K,73,68,159lbs,€2M,30,78,80,68,64,Right,5'8
81,71,€60K,86,74,154lbs,€23M,23,86,87,79,78,Right,5'9
75,55,€20K,75,74,159lbs,€4.3M,25,73,73,81,69,Left,5'7
78,73,€30K,78,79,198lbs,€7.5M,30,77,66,91,74,Right,6'4
75,68,€30K,75,77,194lbs,€3.2M,28,73,71,85,72,Right,6'2
77,55,€50K,77,79,176lbs,€6M,26,76,74,92,70,Right,6'1
82,33,€40K,82,78,168lbs,€3M,35,75,74,69,62,Left,5'9
86,76,€150K,90,82,168lbs,€52M,24,86,84,88,89,Right,5'11
75,56,€9K,83,72,154lbs,€5.5M,21,75,71,90,66,Right,5'10
77,64,€30K,84,74,165lbs,€10M,21,81,79,76,74,Right,5'10
74,69,€30K,74,72,148lbs,€2.2M,31,75,68,74,67,Right,5'6
75,73,€30K,75,75,170lbs,€4.1M,27,76,73,73,73,Left,6'1
77,65,€50K,80,74,165lbs,€8.5M,25,79,79,79,76,Left,5'10
81,80,€60K,82,81,163lbs,€19M,25,79,82,82,76,Right,6'0
75,57,€10K,80,76,141lbs,€4.6M,20,79,78,83,77,Left,5'10
78,71,€40K,78,70,163lbs,€7M,31,82,75,67,80,Right,6'0
77,55,€30K,77,74,161lbs,€5.5M,27,75,72,91,70,Left,6'0
74,62,€30K,74,74,176lbs,€3.5M,26,72,72,77,69,Left,6'0
79,73,€30K,79,78,150lbs,€8M,32,78,80,76,81,Right,5'7
76,61,€50K,76,75,163lbs,€4M,29,75,74,74,76,Right,5'10
75,40,€30K,75,72,187lbs,€3.1M,29,76,76,77,70,Left,6'0
82,76,€3K,82,79,141lbs,€19M,28,85,87,70,79,Right,5'8
76,77,€20K,76,79,176lbs,€5.5M,27,78,73,83,75,Right,6'1
74,68,€15K,79,73,152lbs,€3.8M,23,76,78,82,69,Right,5'7
74,60,€15K,77,70,152lbs,€3.4M,25,75,74,82,70,Left,5'10
82,80,€100K,90,81,168lbs,€29M,20,84,88,80,70,Right,6'0
78,49,€10K,87,81,157lbs,€11.5M,20,79,81,82,60,Left,5'9
77,57,€30K,77,79,159lbs,€5.5M,28,79,65,72,79,Right,5'9
82,72,€90K,85,75,159lbs,€26M,23,84,88,69,73,Right,5'8
74,69,€60K,74,73,157lbs,€3M,30,76,74,74,76,Left,5'8
77,50,€10K,77,75,154lbs,€5M,30,76,77,82,67,Right,5'11
